name,cuisine,price,tags
gyg,mexican,$,fastfood
pizza hut,western,$,"oily,fastfood"
mcdonalds,western,$,fastfood
five guys, western,$$$,"american,fastfood"
dian xiao er, chinese,$$$,familystyle
crystal jade, chinese,$$$,familystyle
xiang xiang hunan food,chinese, $$$, "familystyle"
springleaf prata, indian, $, "supper"
wingstop, western, $$," chickenwings, oily, american"
a hot hideout, chinese, $$," mala, singaporean, customisable"
jinjja chicken, korean, $," gimbap,fried"
marche, swedish, $$$," rosti, diverse"
stuff'd, mexican, $$,"customisable, convenient, healthy"
ajisen ramen, japanese, $$,"ramen"
tori-q, japanese, $$," skewers"
hai di lao, chinese, $$$," hotpot"
yakiniku like, japanese, $,"grill,bbq"
mos burger, western, $$,"quality"
saizeriya,italian, $,"many options"
